,Year,avg_winner_ht,avg_loser_ht,ht_sum,avg_winner_age,avg_loser_age,age_sum,avg_w_ace,avg_l_ace,avg_w_1stinwonratio,avg_l_1stinwonration,1stwon_diff
year_avg,1991/1/1,184.7447983,184.2399151,184.4923567,24.41257028,24.51673766,24.46465397,5.21104034,4.169002123,0.656724832,0.32020594,0.336518891
year_avg.1,1992/1/2,184.9976498,184.6145711,184.8061105,24.65328573,24.89853946,24.7759126,5.764982374,4.305522914,0.660775407,0.32301144,0.337763966
year_avg.2,1993/1/3,185.2995816,184.8251046,185.0623431,24.58123656,24.79515778,24.68819717,5.660669456,4.345606695,0.667279293,0.330556882,0.336722411
year_avg.3,1994/1/4,185.2565622,184.8209145,185.0387384,24.91142033,24.98548951,24.94845492,5.814563929,4.66596105,0.666079948,0.337435027,0.328644921
year_avg.4,1995/1/5,185.3055014,185.0128755,185.1591885,24.93115982,25.18689303,25.05902643,6.158798283,5.029262583,0.676580368,0.329385333,0.347195035
year_avg.5,1996/1/6,185.5509277,185.3089739,185.4299508,24.97702709,25.12559463,25.05131086,6.516471034,5.088224158,0.678443905,0.329458056,0.348985848
year_avg.6,1997/1/7,185.2786161,185.0235554,185.1510858,24.95694888,25.10770097,25.03232493,6.798675009,5.256164888,0.680898582,0.335561661,0.345336921
year_avg.7,1998/1/8,184.7617218,184.7663336,184.7640277,25.34741611,25.2969942,25.32220516,6.724827056,5.262106072,0.677789612,0.336662168,0.341127443
year_avg.8,1999/1/9,185.0677831,184.5721691,184.8199761,25.21117803,25.40875304,25.30996554,6.533492823,5.268740032,0.681473048,0.335241919,0.346231128
year_avg.9,2000/1/10,185.0489731,184.4680095,184.7584913,25.27970736,25.38771946,25.33371341,6.88507109,5.537124803,0.680399405,0.350945119,0.329454286
year_avg.10,2001/1/11,184.3908179,184.2982253,184.3445216,25.04312009,25.44220093,25.24266051,6.695987654,5.376157407,0.67621729,0.348304806,0.327912485
year_avg.11,2002/1/12,184.7246796,184.4431583,184.583919,25.25233528,25.44824384,25.35028956,6.785448532,5.337742869,0.677432196,0.335929325,0.341502871
year_avg.12,2003/1/13,184.6511931,184.716269,184.6837311,25.4407723,25.61377121,25.52727176,6.87505423,5.37483731,0.67886357,0.323059238,0.355804332
year_avg.13,2004/1/14,185.1201663,185.3164241,185.2182952,25.42876195,25.67103613,25.54989904,7.138045738,5.489397089,0.687464427,0.312852803,0.374611624
year_avg.14,2005/1/15,184.8223794,184.9155574,184.8689684,25.42279409,25.82044983,25.62162196,7.00374376,5.486688852,0.677443272,0.317481695,0.359961577
year_avg.15,2006/1/16,185.0781055,184.7714998,184.9248027,25.49959265,25.93638393,25.71798829,6.818030744,5.147901953,0.668301967,0.31412536,0.354176606
year_avg.16,2007/1/17,185.3743633,185.0938031,185.2340832,25.57904266,26.00104354,25.7900431,7.061544992,5.5,0.680378242,0.308354536,0.372023706
year_avg.17,2008/1/18,185.9324619,185.4779956,185.7052288,25.45194967,25.95884813,25.7053989,7.316339869,5.607843137,0.679396155,0.312402726,0.36699343
year_avg.18,2009/1/19,186.2387348,185.3284229,185.7835789,25.94605082,26.41544276,26.18074679,7.312824957,5.49610052,0.681862141,0.309227961,0.372634179
year_avg.19,2010/1/20,186.3786878,185.7970057,186.0878468,26.21783515,26.46459737,26.34121626,7.473359753,5.436371642,0.681592446,0.307057507,0.374534939
year_avg.20,2011/1/21,186.8309859,186.1935484,186.5122672,26.6114295,26.65879519,26.63511235,6.949568378,5.253066788,0.676471686,0.30875542,0.367716266
year_avg.21,2012/1/22,186.9911173,186.1397849,186.5654511,27.07854617,27.26647614,27.17251116,7.419822347,5.38569425,0.680875937,0.309065201,0.371810736
year_avg.22,2013/1/23,187.3138794,186.5934282,186.9536538,27.80446724,27.6715801,27.73802367,7.44973026,5.626777832,0.682341042,0.308552159,0.373788882
year_avg.23,2014/1/24,187.3567319,186.9925201,187.174626,28.3708055,28.45976202,28.41528376,7.785385501,5.753739931,0.694181818,0.305371326,0.388810492
year_avg.24,2015/1/25,186.9747793,186.8663304,186.9205549,28.69796551,28.73381651,28.71589101,7.080706179,5.532156368,0.687517524,0.304226336,0.383291188
